usgs_id,usgs_mag,event_at,solaration_year,solar_secs,lunar_secs,midnight_secs,latitude,longitude,depth
iscgem897116,6.29,1949-12-25T23:17:31Z,1950,327293,534128,30984,36.731,139.722,10.0
iscgem895184,6.71,1950-02-03T02:51:54Z,1950,3709756,1363956,34320,21.85,100.029,35.0
iscgem895440,6.2,1950-05-19T07:05:35Z,1950,12796977,195085,66059,-20.595,168.853,15.0
iscgem895458,6.87,1950-05-26T01:17:28Z,1950,13380890,778998,45274,-20.515,169.278,35.0
iscgem895567,6.18,1950-07-07T16:54:13Z,1950,17065895,1904499,13744,-10.913,163.716,15.0
iscgem895686,6.17,1950-08-15T18:38:48Z,1950,20441770,179444,3703,28.52,95.731,25.0
iscgem895693,6.23,1950-08-16T06:42:05Z,1950,20485167,222841,47139,28.38,95.894,25.0
iscgem895968,6.2,1950-10-23T17:48:00Z,1950,26400322,1052078,42075,14.188,-91.688,65.0
iscgem895990,6.01,1950-10-26T03:49:54Z,1950,26609236,1260992,57504,-32.785,-177.879,15.0
iscgem896132,6.22,1950-12-03T07:47:36Z,1950,29906698,2017343,68280,-17.838,167.602,15.8
iscgem896144,6.23,1950-12-04T07:38:06Z,1950,29992528,2103173,67714,-17.944,167.62,25.0
iscgem894742,6.12,1951-09-28T14:37:27Z,1951,24207862,2339284,10179,-29.526,-176.95,15.0
iscgem894824,7.23,1951-10-22T03:29:35Z,1951,26241390,1819988,41697,23.917,121.343,25.0
iscgem894825,6.7,1951-10-22T04:28:12Z,1951,26244907,1823505,45199,23.769,121.282,25.0
iscgem894826,6.46,1951-10-22T05:17:48Z,1951,26247883,1826481,48122,23.728,121.062,25.0
iscgem894828,6.96,1951-10-22T05:43:07Z,1951,26249402,1828000,49721,23.775,121.393,20.0
iscgem894831,6.51,1951-10-22T11:11:08Z,1951,26269083,1847681,69445,23.889,121.571,25.0
iscgem894833,6.31,1951-10-22T13:01:17Z,1951,26275692,1854290,76038,23.733,121.508,25.0
iscgem894835,6.45,1951-10-22T14:46:51Z,1951,26282026,1860624,82329,23.904,121.326,20.0
iscgem894836,6.54,1951-10-22T15:29:53Z,1951,26284608,1863206,84992,24.067,121.664,20.0
iscgem894837,6.46,1951-10-22T16:07:01Z,1951,26286836,1865434,775,24.022,121.478,25.0
iscgem894838,6.18,1951-10-22T18:42:37Z,1951,26296172,1874770,10082,23.396,121.357,25.0
iscgem894839,6.0,1951-10-22T20:24:51Z,1951,26302306,1880904,16372,24.269,122.005,25.0
iscgem894840,6.27,1951-10-22T20:51:42Z,1951,26303917,1882515,17894,23.512,121.635,25.0
iscgem894842,6.56,1951-10-23T01:19:42Z,1951,26319997,1898595,33923,23.867,121.424,25.0
iscgem894844,6.31,1951-10-23T08:55:19Z,1951,26347334,1925932,61290,23.892,121.548,25.0
iscgem894846,6.07,1951-10-23T18:18:50Z,1951,26381145,1959743,8829,23.964,122.081,25.0
iscgem894849,6.27,1951-10-24T03:39:07Z,1951,26414762,1993360,42336,23.946,121.623,35.0
iscgem894893,6.34,1951-11-06T18:50:33Z,1951,27592648,622573,18457,47.276,154.268,35.0
iscgem894931,6.1,1951-11-15T08:25:52Z,1951,28332767,1362692,68829,52.553,160.322,30.0
iscgem894934,6.13,1951-11-15T10:02:41Z,1951,28338576,1368501,74635,52.455,160.309,30.0
iscgem894935,6.23,1951-11-15T10:31:35Z,1951,28340310,1370235,76356,52.629,160.257,36.1
iscgem894940,6.31,1951-11-15T19:42:11Z,1951,28373346,1403271,23028,52.272,160.406,30.5
iscgem894943,6.14,1951-11-15T21:59:16Z,1951,28381571,1411496,31225,52.207,160.288,30.0
iscgem894945,6.07,1951-11-16T15:03:23Z,1951,28443018,1472943,6228,52.245,160.105,30.0
iscgem894946,6.2,1951-11-16T15:20:40Z,1951,28444055,1473980,7263,52.039,160.098,30.0
iscgem892555,6.3,1952-03-04T16:30:58Z,1952,6309068,717313,7981,42.198,145.516,12.4
iscgem892566,6.44,1952-03-05T03:49:09Z,1952,6349759,758004,48677,42.158,145.537,16.0
iscgem892570,6.27,1952-03-05T09:17:10Z,1952,6369440,777685,68291,42.105,145.258,25.0
iscgem892575,6.31,1952-03-05T15:54:14Z,1952,6393264,801509,5881,41.984,145.948,15.0
iscgem892659,6.16,1952-03-21T16:10:39Z,1952,7776649,2184894,11583,-10.88,165.604,20.0
iscgem892777,6.26,1952-04-16T14:16:51Z,1952,10016221,1879468,45289,-56.763,-25.512,15.0
iscgem893061,6.12,1952-06-22T10:08:20Z,1952,15790110,5009,73323,46.873,153.432,25.0
iscgem893604,6.47,1952-10-26T15:53:09Z,1952,26697199,666665,5131,39.522,143.094,27.7
iscgem893608,6.46,1952-10-26T18:02:05Z,1952,26704935,674401,12985,39.402,143.585,25.0
iscgem893609,6.26,1952-10-26T19:19:21Z,1952,26709571,679037,17518,39.44,143.157,24.2
iscgem893616,6.48,1952-10-27T03:17:17Z,1952,26738247,707713,46201,39.438,143.185,22.5
iscgem893624,6.02,1952-10-28T16:45:23Z,1952,26873133,842599,8341,39.318,143.409,15.0
iscgem893658,6.15,1952-11-04T23:29:06Z,1952,27502156,1471622,36054,50.671,157.951,30.0
iscgem893666,6.47,1952-11-05T13:06:31Z,1952,27551201,1520667,85549,52.46,159.829,25.0
iscgem893668,6.07,1952-11-05T14:48:45Z,1952,27557335,1526801,4467,49.936,156.427,30.4
iscgem893672,6.35,1952-11-05T22:46:07Z,1952,27585977,1555443,33964,51.951,159.989,30.0
iscgem16967949,6.1,1952-11-08T17:04:34Z,1952,27824684,1794150,12669,49.752,156.649,35.0
iscgem893930,6.08,1952-12-24T08:33:31Z,1953,211836,628277,67115,-5.353,151.27,45.0
iscgem893938,6.38,1952-12-24T21:37:12Z,1953,258857,675298,27910,-5.526,151.994,35.0
iscgem893940,6.2,1952-12-25T02:28:46Z,1953,276351,692792,45338,-5.605,151.717,35.0
iscgem891597,6.1,1953-04-01T10:49:44Z,1953,8687209,1467897,19592,-0.254,-80.804,10.0
iscgem891785,6.82,1953-06-26T05:42:57Z,1953,16099202,1262906,50335,-8.462,123.992,25.0
iscgem891907,6.19,1953-08-12T12:05:24Z,1953,20182949,244539,48523,37.9,20.83,15.0
iscgem892192,6.51,1953-11-26T00:03:35Z,1953,29298040,1663564,34174,34.378,141.499,25.0
iscgem892194,6.2,1953-11-26T01:47:34Z,1953,29304279,1669803,40422,34.169,141.537,37.0
iscgem892200,6.7,1953-11-26T08:14:19Z,1953,29327484,1693008,63607,34.26,141.451,25.0
iscgem892318,6.23,1953-12-24T02:33:45Z,1954,169351,1525559,47656,51.917,160.131,15.0
iscgem892319,6.46,1953-12-24T23:21:16Z,1954,244202,1600410,36063,52.226,159.946,25.0
iscgem890241,6.52,1954-01-12T14:16:30Z,1954,1853116,647721,4603,-48.57,165.057,35.0
iscgem890246,6.71,1954-01-13T00:13:14Z,1954,1888920,683525,40460,-48.707,165.278,15.0
