usgs_id,ocean_class,dist_to_coast_km
iscgem621633697,continental,26.486
iscgem621883710,transitional,193.243
iscgem621629136,transitional,53.993
iscgem621627644,oceanic,726.434
iscgem621612562,transitional,130.52
iscgem621611344,oceanic,315.279
iscgem621499184,transitional,60.106
iscgem621494331,oceanic,212.215
iscgem621480794,oceanic,375.751
iscgem621468845,transitional,171.241
iscgem621468756,continental,31.366
iscgem621416061,transitional,93.341
iscgem621403216,oceanic,944.763
iscgem621403060,transitional,53.359
iscgem621403058,transitional,55.881
iscgem621391510,transitional,167.515
iscgem635691462,transitional,56.304
iscgem621370944,transitional,52.448
iscgem621244913,transitional,56.546
iscgem621238060,continental,2.564
iscgem621630065,oceanic,493.311
iscgem621630062,continental,32.807
iscgem621202367,continental,26.369
iscgem621146229,continental,8.727
iscgem621144696,continental,17.913
iscgem621143769,transitional,50.418
iscgem621134137,oceanic,456.633
iscgem621630031,transitional,100.28
iscgem621117003,oceanic,533.925
iscgem621116405,transitional,70.758
iscgem626513349,oceanic,204.917
iscgem621109405,continental,8.762
iscgem621094948,transitional,67.615
iscgem621094394,continental,27.979
iscgem621086648,transitional,69.804
iscgem621240989,oceanic,347.092
iscgem621041919,continental,4.297
iscgem621240957,transitional,68.323
iscgem621237592,transitional,94.565
iscgem621001087,continental,47.802
iscgem621237558,transitional,150.168
iscgem620999428,transitional,172.759
iscgem621237530,continental,3.073
iscgem620993293,transitional,57.032
iscgem620987366,transitional,156.061
iscgem620986707,continental,9.066
iscgem620986702,transitional,94.624
iscgem621237485,transitional,111.439
iscgem620984518,transitional,87.753
iscgem620984523,transitional,93.306
iscgem620986442,continental,33.946
iscgem621237435,transitional,61.202
iscgem620983080,transitional,53.77
iscgem620995837,transitional,55.928
iscgem620930453,transitional,54.126
iscgem620929668,continental,5.793
iscgem620925870,transitional,55.152
iscgem620913674,continental,39.644
iscgem620984038,transitional,79.382
iscgem622450816,transitional,69.061
iscgem620857937,transitional,59.0
iscgem620846772,continental,20.984
iscgem620845661,transitional,129.621
iscgem620845493,continental,8.968
iscgem620844210,transitional,90.838
iscgem620842803,transitional,132.688
iscgem625300213,transitional,107.672
iscgem620787252,transitional,90.368
iscgem620733496,continental,16.994
iscgem621112191,transitional,139.002
iscgem620534389,transitional,113.885
iscgem620497493,transitional,108.756
iscgem620445810,transitional,116.023
iscgem620437827,transitional,171.974
iscgem620437814,oceanic,1428.855
iscgem625916004,oceanic,860.593
iscgem620397828,oceanic,665.262
iscgem620368648,transitional,128.429
iscgem620368625,transitional,62.983
iscgem620367740,transitional,91.197
iscgem620363935,oceanic,393.166
iscgem620488901,transitional,100.308
iscgem620488900,oceanic,939.007
iscgem620346923,continental,15.071
iscgem620351494,transitional,117.336
iscgem620343980,oceanic,396.354
iscgem620342562,transitional,75.866
iscgem620351370,transitional,117.321
iscgem620351349,transitional,148.504
iscgem620346659,transitional,132.224
iscgem620236531,transitional,96.809
iscgem620236519,transitional,101.267
iscgem620236368,continental,22.533
iscgem620227654,transitional,135.253
iscgem620351445,transitional,94.177
iscgem620221662,oceanic,802.218
iscgem620360747,transitional,84.839
iscgem620172298,continental,3.281
iscgem620171883,oceanic,745.875
iscgem619953255,continental,14.635
iscgem619942751,transitional,60.01
iscgem620360680,transitional,134.602
iscgem619940265,transitional,166.866
iscgem620360488,transitional,104.9
iscgem620061408,transitional,97.67
iscgem620360478,transitional,87.078
iscgem620360466,transitional,79.6
iscgem619921352,transitional,94.35
iscgem622433317,transitional,124.874
iscgem619918473,transitional,111.187
iscgem619918451,transitional,147.133
iscgem625458408,transitional,145.252
iscgem625458390,transitional,142.376
iscgem619952997,transitional,123.323
iscgem620360228,transitional,67.34
iscgem619918421,continental,43.169
iscgem619916485,continental,19.0
iscgem619916464,transitional,81.294
iscgem625438779,continental,46.212
iscgem619841663,transitional,117.656
iscgem619941514,transitional,90.817
iscgem619840663,oceanic,327.035
iscgem619835661,continental,47.784
iscgem619834062,transitional,59.84
iscgem619831341,oceanic,324.179
iscgem619829240,oceanic,351.939
iscgem619829135,oceanic,319.976
iscgem619829151,oceanic,320.962
iscgem619942801,oceanic,332.17
iscgem619829144,oceanic,324.804
iscgem619829141,transitional,52.442
iscgem619810848,transitional,119.503
iscgem619810844,continental,23.128
iscgem619795605,oceanic,1299.001
iscgem619763715,transitional,57.752
iscgem619760572,continental,43.263
iscgem619721854,oceanic,245.611
iscgem619717479,continental,1.6
iscgem619647426,oceanic,1904.136
iscgem619646379,continental,18.023
iscgem619646396,oceanic,381.143
iscgem619645536,transitional,57.143
iscgem619645523,transitional,88.004
iscgem619644638,transitional,56.083
iscgem619900948,transitional,76.253
iscgem619631664,continental,44.881
iscgem621237334,transitional,113.789
iscgem621237270,transitional,130.134
iscgem619625985,continental,4.818
iscgem619624672,transitional,98.277
iscgem619617740,transitional,85.289
iscgem619611102,continental,14.885
iscgem619610208,transitional,156.903
iscgem619595112,continental,24.096
iscgem621560715,transitional,120.962
iscgem619564262,oceanic,589.929
iscgem619563908,continental,29.934
iscgem619562451,oceanic,346.56
iscgem619562452,transitional,53.952
iscgem619646130,transitional,90.607
iscgem619646106,transitional,65.796
iscgem619517477,oceanic,343.602
iscgem619514791,continental,8.006
iscgem619552807,oceanic,447.429
iscgem619498906,continental,18.52
iscgem619461935,transitional,57.872
iscgem619553735,continental,14.77
iscgem619553723,continental,16.764
iscgem619399726,continental,9.063
iscgem619394452,oceanic,446.244
iscgem619099594,oceanic,272.996
iscgem619093604,continental,2.095
iscgem619321965,transitional,167.817
iscgem619010618,continental,36.316
iscgem618998155,continental,21.252
iscgem618988083,continental,40.522
iscgem619500231,continental,12.612
iscgem618985528,continental,8.234
iscgem618985510,oceanic,1147.03
iscgem618985495,transitional,59.132
iscgem619500226,continental,5.642
iscgem618947023,continental,18.556
iscgem618938658,continental,0.718
iscgem618938653,continental,13.959
iscgem618936926,oceanic,233.507
iscgem618936141,transitional,65.459
iscgem618757237,continental,9.872
iscgem618746890,continental,0.755
iscgem618743690,transitional,97.988
iscgem618740203,transitional,113.038
iscgem618740201,transitional,125.223
iscgem621552095,continental,2.63
iscgem618710820,oceanic,653.529
iscgem618709670,continental,2.356
iscgem618707500,transitional,138.748
iscgem618707493,continental,1.856
iscgem618699827,continental,43.493
iscgem618698074,transitional,162.497
iscgem618690538,oceanic,1113.345
iscgem618688606,continental,9.058
iscgem618688907,continental,11.687
iscgem618688608,continental,43.452
iscgem618688582,continental,29.449
iscgem618686261,transitional,88.637
iscgem618684837,transitional,151.186
iscgem618683069,continental,14.186
iscgem618683061,continental,0.25
iscgem618661568,continental,22.954
iscgem618659544,oceanic,253.522
iscgem618591141,oceanic,1544.002
iscgem618580105,continental,47.413
iscgem618580119,continental,3.856
iscgem618570070,continental,20.637
iscgem618560737,continental,24.076
iscgem618550810,oceanic,454.347
iscgem618541730,transitional,57.45
iscgem618541714,transitional,111.398
iscgem618435309,continental,41.689
iscgem618415912,oceanic,284.875
iscgem618411941,oceanic,207.524
iscgem618367846,oceanic,224.476
iscgem618328691,continental,48.342
iscgem618301667,transitional,149.645
iscgem618259420,oceanic,315.175
iscgem618453613,transitional,53.015
iscgem618453607,transitional,52.106
iscgem618714189,continental,35.649
iscgem618216185,transitional,83.324
iscgem618215654,transitional,89.22
iscgem618225812,transitional,76.307
iscgem618127891,continental,18.74
iscgem618125081,transitional,73.506
iscgem618102373,oceanic,218.392
iscgem618099931,continental,46.513
iscgem618037854,transitional,195.287
iscgem618037100,transitional,113.047
iscgem617833891,continental,13.458
iscgem617825623,oceanic,648.266
iscgem617818095,continental,16.418
iscgem617816385,oceanic,204.572
iscgem617810298,oceanic,1548.648
iscgem617799136,oceanic,244.093
iscgem617796852,continental,46.623
iscgem617796709,transitional,168.097
iscgem617787532,oceanic,272.919
iscgem617624433,oceanic,1140.776
iscgem618328424,continental,5.527
iscgem617488870,continental,1.662
iscgem617480789,continental,1.691
iscgem617410906,continental,16.485
iscgem617307582,continental,47.686
iscgem617497178,continental,5.151
iscgem621407687,continental,43.65
iscgem617210084,transitional,109.051
iscgem617496765,continental,31.974
iscgem621416257,continental,47.292
iscgem617204417,oceanic,297.783
iscgem618124301,continental,9.572
iscgem617195024,continental,26.922
iscgem617194930,continental,42.461
iscgem617194918,oceanic,1864.544
iscgem617194874,transitional,69.957
iscgem617152277,transitional,127.711
iscgem617125982,continental,16.224
iscgem617125978,continental,0.985
iscgem617004066,oceanic,678.089
iscgem617002333,transitional,101.623
iscgem619553316,oceanic,721.779
iscgem617001526,transitional,94.09
iscgem617001523,transitional,93.866
iscgem616997721,oceanic,1270.687
iscgem616987910,continental,20.269
iscgem616967517,continental,48.246
iscgem617199585,continental,38.319
iscgem617614780,continental,18.981
iscgem616935601,continental,49.61
iscgem616922111,continental,10.067
iscgem616919407,continental,9.334
iscgem616918424,continental,43.291
iscgem616918402,transitional,183.819
iscgem616912190,oceanic,444.622
iscgem616856627,transitional,157.73
iscgem619792352,transitional,131.446
iscgem616781392,continental,24.373
iscgem617435034,continental,11.642
iscgem616781144,continental,26.274
iscgem617000167,transitional,77.953
iscgem617000153,transitional,160.583
iscgem617283002,continental,9.776
iscgem616751937,oceanic,878.444
iscgem616747937,transitional,69.837
iscgem616962653,continental,21.709
iscgem616746959,transitional,95.385
iscgem616742152,continental,20.885
iscgem616739626,continental,38.09
iscgem616717616,oceanic,751.633
iscgem616685442,continental,30.206
iscgem616636559,continental,36.22
iscgem616624515,transitional,121.059
iscgem616600917,continental,28.041
iscgem616600879,continental,19.116
iscgem620994219,transitional,109.262
iscgem616542055,transitional,74.708
iscgem616504279,continental,0.959
iscgem616497806,oceanic,1324.893
iscgem616494775,transitional,56.666
iscgem616490953,transitional,72.718
iscgem619318777,continental,33.116
iscgem616252734,oceanic,290.668
iscgem616744345,transitional,101.094
iscgem616616224,transitional,86.733
iscgem616249384,continental,21.185
iscgem616616209,oceanic,917.577
iscgem616616207,continental,19.457
iscgem616200760,continental,47.074
iscgem616193491,transitional,63.845
iscgem616616159,continental,24.773
iscgem616179283,continental,1.302
iscgem616091877,transitional,129.591
iscgem616069028,oceanic,679.709
iscgem616067516,continental,21.971
iscgem616062317,continental,7.898
iscgem616063186,transitional,138.979
iscgem616060050,transitional,142.027
iscgem616648541,transitional,73.092
iscgem616046592,transitional,96.702
iscgem616203758,oceanic,200.615
iscgem616217956,oceanic,205.002
iscgem616041896,transitional,99.894
iscgem616004316,continental,11.139
iscgem615980963,transitional,86.285
iscgem616173560,transitional,171.374
iscgem615973495,continental,7.091
iscgem615973484,continental,45.357
iscgem615968725,transitional,50.517
iscgem615968173,continental,48.575
iscgem620148010,transitional,93.107
iscgem616647669,transitional,195.537
iscgem615962569,transitional,51.237
iscgem616003909,transitional,148.404
iscgem615958611,continental,11.589
iscgem619441511,oceanic,203.735
iscgem616173310,oceanic,206.223
iscgem616744157,transitional,172.068
iscgem615955370,transitional,72.956
iscgem615952702,continental,43.461
iscgem620557732,transitional,185.404
iscgem615980752,continental,22.852
iscgem615776824,continental,32.027
iscgem615945633,transitional,60.143
iscgem620129901,continental,23.89
iscgem615748456,oceanic,486.905
iscgem615744412,continental,31.922
iscgem615738796,transitional,146.581
iscgem616744097,transitional,152.103
iscgem615738774,transitional,159.519
iscgem615622891,continental,6.464
iscgem620489784,continental,25.665
iscgem620506284,continental,21.504
iscgem615950088,transitional,56.194
iscgem615950054,transitional,124.336
iscgem615434612,oceanic,353.384
iscgem615414244,oceanic,665.231
iscgem615417088,continental,7.929
iscgem615412954,continental,4.319
iscgem615412757,continental,10.407
iscgem616645296,oceanic,985.309
iscgem615410465,continental,0.635
iscgem615522472,transitional,59.836
iscgem615392304,transitional,110.728
iscgem615391433,continental,41.848
iscgem616217861,transitional,123.953
iscgem615380484,continental,48.803
iscgem615372509,transitional,138.58
iscgem615370393,continental,40.609
iscgem615353967,continental,22.049
iscgem615344583,oceanic,261.136
iscgem620301451,continental,16.913
iscgem615332083,continental,26.316
iscgem615327217,transitional,197.809
iscgem615301158,continental,37.106
iscgem620301187,transitional,117.881
iscgem616645007,continental,17.551
iscgem620328401,oceanic,473.983
iscgem615179560,continental,24.67
iscgem615374407,continental,24.458
iscgem615142175,continental,31.574
iscgem615380543,oceanic,302.579
iscgem615092476,transitional,174.593
iscgem620328319,oceanic,328.694
iscgem614969911,oceanic,304.815
iscgem615221632,continental,1.936
iscgem614774103,oceanic,627.338
iscgem614641055,continental,34.485
iscgem614610379,continental,3.146
iscgem614610371,continental,0.298
iscgem620213281,continental,17.076
iscgem614617848,transitional,56.284
iscgem615737574,continental,19.226
iscgem614617830,oceanic,521.803
iscgem614578210,transitional,57.025
iscgem614578192,transitional,55.4
iscgem614617823,continental,8.031
iscgem614617816,continental,40.067
iscgem614574305,transitional,116.055
iscgem614572080,continental,15.144
iscgem614559323,continental,14.121
iscgem614554814,transitional,112.758
iscgem614554733,oceanic,723.067
iscgem614554713,continental,44.253
