usgs_id,ocean_class,dist_to_coast_km
iscgem621633697,oceanic,412.354
iscgem621883710,transitional,68.83
iscgem621629136,continental,37.143
iscgem621627644,continental,42.526
iscgem621612562,continental,47.425
iscgem621611344,transitional,69.632
iscgem621499184,continental,4.133
iscgem621494331,continental,24.94
iscgem621480794,oceanic,362.637
iscgem621468845,oceanic,976.96
iscgem621468756,transitional,140.852
iscgem621416061,continental,32.97
iscgem621403216,continental,16.436
iscgem621403060,oceanic,863.507
iscgem621403058,oceanic,871.52
iscgem621391510,continental,28.13
iscgem635691462,transitional,78.482
iscgem621370944,continental,35.807
iscgem621244913,transitional,94.162
iscgem621238060,continental,22.543
iscgem621630065,oceanic,259.511
iscgem621630062,transitional,195.95
iscgem621202367,transitional,60.379
iscgem621146229,transitional,98.048
iscgem621144696,transitional,196.664
iscgem621143769,oceanic,888.197
iscgem621134137,continental,12.373
iscgem621630031,continental,20.559
iscgem621117003,continental,16.338
iscgem621116405,oceanic,851.258
iscgem626513349,oceanic,207.699
iscgem621109405,transitional,77.093
iscgem621094948,transitional,78.162
iscgem621094394,transitional,65.878
iscgem621086648,transitional,89.003
iscgem621240989,oceanic,476.847
iscgem621041919,transitional,62.208
iscgem621240957,transitional,61.737
iscgem621237592,transitional,86.115
iscgem621001087,transitional,119.561
iscgem621237558,continental,32.327
iscgem620999428,transitional,52.002
iscgem621237530,oceanic,312.68
iscgem620993293,transitional,95.7
iscgem620987366,continental,24.746
iscgem620986707,oceanic,210.41
iscgem620986702,transitional,111.607
iscgem621237485,continental,12.391
iscgem620984518,continental,45.433
iscgem620984523,continental,27.283
iscgem620986442,transitional,111.548
iscgem621237435,transitional,79.954
iscgem620983080,transitional,161.286
iscgem620995837,continental,17.669
iscgem620930453,continental,6.922
iscgem620929668,oceanic,761.166
iscgem620925870,continental,17.73
iscgem620913674,oceanic,332.353
iscgem620984038,transitional,125.366
iscgem622450816,transitional,96.063
iscgem620857937,transitional,144.542
iscgem620846772,transitional,154.925
iscgem620845661,continental,36.809
iscgem620845493,oceanic,670.225
iscgem620844210,continental,7.845
iscgem620842803,continental,25.831
iscgem625300213,continental,23.254
iscgem620787252,transitional,98.2
iscgem620733496,oceanic,673.802
iscgem621112191,oceanic,276.602
iscgem620534389,transitional,111.913
iscgem620497493,continental,34.395
iscgem620445810,oceanic,664.515
iscgem620437827,continental,16.298
iscgem620437814,oceanic,1961.594
iscgem625916004,oceanic,1324.846
iscgem620397828,continental,9.145
iscgem620368648,oceanic,458.254
iscgem620368625,transitional,173.035
iscgem620367740,continental,48.329
iscgem620363935,continental,23.284
iscgem620488901,transitional,96.79
iscgem620488900,continental,14.968
iscgem620346923,transitional,197.162
iscgem620351494,transitional,51.095
iscgem620343980,oceanic,1414.643
iscgem620342562,continental,25.421
iscgem620351370,transitional,62.057
iscgem620351349,continental,38.564
iscgem620346659,oceanic,454.153
iscgem620236531,continental,3.637
iscgem620236519,oceanic,272.412
iscgem620236368,oceanic,235.178
iscgem620227654,continental,42.117
iscgem620351445,continental,34.235
iscgem620221662,continental,12.72
iscgem620360747,transitional,104.945
iscgem620172298,oceanic,218.018
iscgem620171883,continental,15.977
iscgem619953255,continental,40.35
iscgem619942751,continental,32.4
iscgem620360680,continental,23.077
iscgem619940265,transitional,59.245
iscgem620360488,transitional,98.62
iscgem620061408,transitional,77.96
iscgem620360478,transitional,85.29
iscgem620360466,transitional,73.88
iscgem619921352,continental,33.743
iscgem622433317,transitional,50.722
iscgem619918473,transitional,50.769
iscgem619918451,continental,41.105
iscgem625458408,continental,32.077
iscgem625458390,transitional,69.679
iscgem619952997,transitional,87.433
iscgem620360228,transitional,94.19
iscgem619918421,transitional,114.362
iscgem619916485,oceanic,280.857
iscgem619916464,transitional,53.655
iscgem625438779,oceanic,373.415
iscgem619841663,continental,26.015
iscgem619941514,oceanic,769.468
iscgem619840663,oceanic,1085.609
iscgem619835661,oceanic,633.992
iscgem619834062,transitional,174.365
iscgem619831341,oceanic,1085.875
iscgem619829240,oceanic,1111.813
iscgem619829135,oceanic,1152.721
iscgem619829151,oceanic,1154.776
iscgem619942801,oceanic,1117.03
iscgem619829144,oceanic,1111.822
iscgem619829141,oceanic,455.055
iscgem619810848,continental,15.852
iscgem619810844,oceanic,315.141
iscgem619795605,continental,3.09
iscgem619763715,continental,24.502
iscgem619760572,continental,48.722
iscgem619721854,oceanic,524.554
iscgem619717479,continental,29.288
iscgem619647426,oceanic,302.055
iscgem619646379,oceanic,463.805
iscgem619646396,oceanic,463.596
iscgem619645536,oceanic,1026.783
iscgem619645523,continental,26.436
iscgem619644638,transitional,134.107
iscgem619900948,transitional,110.043
iscgem619631664,transitional,98.286
iscgem621237334,oceanic,1094.517
iscgem621237270,continental,6.952
iscgem619625985,oceanic,658.873
iscgem619624672,continental,18.843
iscgem619617740,transitional,157.669
iscgem619611102,oceanic,247.116
iscgem619610208,oceanic,292.958
iscgem619595112,continental,25.884
iscgem621560715,oceanic,247.647
iscgem619564262,continental,31.381
iscgem619563908,transitional,96.453
iscgem619562451,oceanic,514.642
iscgem619562452,transitional,81.031
iscgem619646130,continental,31.088
iscgem619646106,transitional,76.535
iscgem619517477,continental,27.809
iscgem619514791,oceanic,272.488
iscgem619552807,oceanic,220.809
iscgem619498906,transitional,91.743
iscgem619461935,continental,24.776
iscgem619553735,oceanic,200.746
iscgem619553723,transitional,136.021
iscgem619399726,transitional,102.481
iscgem619394452,continental,36.107
iscgem619099594,continental,24.968
iscgem619093604,transitional,80.337
iscgem619321965,oceanic,281.499
iscgem619010618,transitional,166.8
iscgem618998155,transitional,154.547
iscgem618988083,transitional,171.297
